CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_INI_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA
06.981.381/0001-13;2019-03-31;2;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;23981;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2018-04-01;2019-03-31;3.11.01;Atribuído a Sócios da Empresa Controladora;23597.00
06.981.381/0001-13;2019-03-31;2;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;23981;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2017-04-01;2018-03-31;3.11.02;Atribuído a Sócios Não Controladores;0.00
06.981.381/0001-13;2019-03-31;2;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;23981;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2018-04-01;2019-03-31;3.11.02;Atribuído a Sócios Não Controladores;0.00
07.628.528/0001-59;2019-06-30;1;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;20036;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2017-07-01;2018-06-30;3.01;Receita de Venda de Bens e/ou Serviços;384061.00
07.628.528/0001-59;2019-06-30;1;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;20036;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2018-07-01;2019-06-30;3.01;Receita de Venda de Bens e/ou Serviços;555400.00
07.628.528/0001-59;2019-06-30;1;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;20036;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2017-07-01;2018-06-30;3.02;Custo dos Bens e/ou Serviços Vendidos;-228319.00
07.628.528/0001-59;2019-06-30;1;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;20036;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2018-07-01;2019-06-30;3.02;Custo dos Bens e/ou Serviços Vendidos;-319214.00
07.628.528/0001-59;2019-06-30;1;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;20036;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2017-07-01;2018-06-30;3.03;Resultado Bruto;155742.00
07.628.528/0001-59;2019-06-30;1;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;20036;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2018-07-01;2019-06-30;3.03;Resultado Bruto;236186.00
07.628.528/0001-59;2019-06-30;1;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;20036;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2017-07-01;2018-06-30;3.04;Despesas/Receitas Operacionais;5071.00
07.628.528/0001-59;2019-06-30;1;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;20036;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2018-07-01;2019-06-30;3.04;Despesas/Receitas Operacionais;-49310.00
07.628.528/0001-59;2019-06-30;1;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;20036;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2017-07-01;2018-06-30;3.04.01;Despesas com Vendas;-10087.00
07.628.528/0001-59;2019-06-30;1;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;20036;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2018-07-01;2019-06-30;3.04.01;Despesas com Vendas;-10536.00
